File, room, poi, comment
PHOTO_0268.jpg,j1106,,
PHOTO_0299.jpg,j1106,,
PHOTO_0300.jpg,,,hallway J
PHOTO_0301.jpg,,,between J and H
PHOTO_0302.jpg,,,between J and H
PHOTO_0303.jpg,,,between J and H
PHOTO_0304.jpg,,,between J and H
PHOTO_0305.jpg,,,entrance J - old bar
PHOTO_0306.jpg,,,J bar-near entrance
PHOTO_0307.jpg,,,J old bar
PHOTO_0308.jpg,,,J old bar
PHOTO_0309.jpg,,,J bar - entrance F toilet
PHOTO_0310.jpg,,,outside back entrance J bar
PHOTO_0311.jpg,,,between J and R42
PHOTO_0312.jpg,,,between J and R42
PHOTO_0313.jpg,,,between J and R42
PHOTO_0314.jpg,,,between J and R42
PHOTO_0315.jpg,,,front of Janson near street
PHOTO_0316.jpg,,,front of Janson near street
PHOTO_0317.jpg,,,front of Janson near street
PHOTO_0318.jpg,,,front of Janson near street
PHOTO_0319.jpg,,,front of Janson near street
PHOTO_0320.jpg,,,front of Janson near street
PHOTO_0321.jpg,,,Janson-entrance at street
PHOTO_0322.jpg,,,front of Janson near street
PHOTO_0323.jpg,,https://nav.fosdem.org/l/c:1:260.44:33.45/,
PHOTO_0324.jpg,,https://nav.fosdem.org/l/c:1:271.23:35.49/,ave roosevelt near H
PHOTO_0325.jpg,,https://nav.fosdem.org/l/c:1:292.25:35.17/,ave roosevelt near H
PHOTO_0326.jpg,,https://nav.fosdem.org/l/c:1:294.19:25.93/,ave roosevelt near H
PHOTO_0327.jpg,,https://nav.fosdem.org/l/c:1:301.08:22.92/,ave roosevelt - ave paul heger
PHOTO_0328.jpg,,https://nav.fosdem.org/l/c:1:310.31:21.62/,ave roosevelt - ave paul heger
PHOTO_0329.jpg,,https://nav.fosdem.org/l/c:1:324.48:26.76/,ave roosevelt - ave paul heger
PHOTO_0330.jpg,,,
PHOTO_0331.jpg,,https://nav.fosdem.org/l/c:1:316.51:57.96/,ave paul heger
PHOTO_0332.jpg,,,
PHOTO_0333.jpg,,,
PHOTO_0334.jpg,,,
PHOTO_0335.jpg,,,
PHOTO_0336.jpg,,,
PHOTO_0337.jpg,,,
PHOTO_0338.jpg,,https://nav.fosdem.org/l/c:1:360.76:77.23/,front entrance AW
PHOTO_0339.jpg,,https://nav.fosdem.org/l/c:1:362.59:66.12/,front entrance AW
PHOTO_0340.jpg,aw-entrance,https://nav.fosdem.org/l/c:1:361.35:79.41/,AW entrance ave roosevelt
PHOTO_0341.jpg,aw-entrance,https://nav.fosdem.org/l/c:1:361.19:82.63/,AW entrance ave roosevelt
PHOTO_0342.jpg,,,
PHOTO_0343.jpg,aw-hall,https://nav.fosdem.org/l/c:1:368.26:86.5/,
PHOTO_0344.jpg,aw-hall,https://nav.fosdem.org/l/c:1:363.69:85.48/,
PHOTO_0345.jpg,aw-hall,https://nav.fosdem.org/l/c:1:369.57:93.32/,AW hall side AY
PHOTO_0346.jpg,aw-hall,https://nav.fosdem.org/l/c:1:355.13:100.97/,
PHOTO_0347.jpg,aw-hall,https://nav.fosdem.org/l/c:1:347.57:100.85/,AW hall entrance aw1120
PHOTO_0348.jpg,aw1120,https://nav.fosdem.org/l/c:1:350.07:109.69/,
PHOTO_0349.jpg,aw1120,https://nav.fosdem.org/l/c:1:350.07:109.69/,
PHOTO_0350.jpg,aw1120,https://nav.fosdem.org/l/c:1:349.25:109.06/,
PHOTO_0351.jpg,aw-hall,https://nav.fosdem.org/l/c:1:361.38:99.53/,in front of AW stairs
PHOTO_0352.jpg,aw-hall,https://nav.fosdem.org/l/c:1:355.84:104.88/,technical area below aw1121
PHOTO_0353.jpg,aw-hall,https://nav.fosdem.org/l/c:2:361.28:102.06/,middle stair AW
